Year,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Population Estimate,Region
2016,France,32,6.478,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,74264176,Europe & Central Asia
2018,Venezuela,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056,29174393,Latin America & Caribbean
2019,Costa Rica,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,4657652,Latin America & Caribbean
2019,Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,10286729,Latin America & Caribbean
2016,Nicaragua,48,5.992,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,5994622,Latin America & Caribbean
2015,Turkey,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,80863863,Europe & Central Asia
2016,Switzerland,2,7.509,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,8827248,Europe & Central Asia
2016,Egypt,120,4.362,4.465,0.95395,0.49813,0.52116,0.18847,0.10393,85652153,Middle East & North Africa
2018,Belize,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,307822,Latin America & Caribbean
2019,Hong Kong,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258,8378754,East Asia & Pacific
2015,Iran,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,75992499,Middle East & North Africa
2016,Haiti,136,4.028,4.163,0.34097,0.29561,0.27494,0.12072,0.14476,9279218,Latin America & Caribbean
2016,Bulgaria,129,4.217,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,9497255,Europe & Central Asia
2016,China,83,5.245,5.291,1.0278,0.79381,0.73561,0.44012,0.02745,1533756997,East Asia & Pacific
2017,Belize,50,5.95599985122681,5.71475738465786,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,304473,Latin America & Caribbean
2015,Ireland,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,4553908,Europe & Central Asia
2018,France,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,75921989,Europe & Central Asia
2015,Germany,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,98709794,Europe & Central Asia
2015,Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,44841491,Latin America & Caribbean
2015,Finland,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,6207606,Europe & Central Asia
2019,Norway,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,5639054,Europe & Central Asia
2018,Uruguay,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,4132813,Latin America & Caribbean
2015,South Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,54123019,Sub-Saharan Africa
2016,Ecuador,51,5.976,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,15118367,Latin America & Caribbean
2016,Belize,52,5.956,6.202,0.87616,0.68655,0.45569,0.51231,0.10771,301101,Latin America & Caribbean
2018,Dominican Republic,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,10443814,Latin America & Caribbean
2016,Portugal,94,5.123,5.216,1.27607,0.94367,0.79363,0.44727,0.01521,12554822,Europe & Central Asia
2015,Poland,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,46424642,Europe & Central Asia
